Baby Name,Start Time,End Time,Activity,Amount,Percentile,Duration,Info,Notes
=== BEGIN Feedings ===
Name,08/09/2020 9:30 AM,08/09/2020 9:31 AM,FEEDING,0.30oz,,1 min,,
Name,08/09/2020 2:20 PM,08/09/2020 2:21 PM,FEEDING,0.30oz,,1 min,,
Name,08/09/2020 4:00 PM,08/09/2020 4:01 PM,FEEDING,0.30oz,,1 min,,
Name,08/09/2020 6:00 PM,08/09/2020 6:01 PM,FEEDING,0.20oz,,1 min,,
Name,08/09/2020 8:30 PM,08/09/2020 8:31 PM,FEEDING,0.30oz,,1 min,,
Name,08/09/2020 11:00 PM,08/09/2020 11:01 PM,FEEDING,0.30oz,,1 min,,
Name,08/10/2020 3:00 AM,08/10/2020 3:30 AM,FEEDING,0.24oz,,30 min,,
Name,08/10/2020 5:00 AM,08/10/2020 5:30 AM,FEEDING,0.27oz,,30 min,,
Name,08/10/2020 9:00 AM,08/10/2020 9:30 AM,FEEDING,0.17oz,,30 min,,
Name,08/10/2020 12:00 PM,08/10/2020 12:30 PM,FEEDING,0.50oz,,30 min,,
Name,08/10/2020 3:00 PM,08/10/2020 3:01 PM,FEEDING,0.25oz,,1 min,,
Name,08/10/2020 5:00 PM,08/10/2020 5:30 PM,FEEDING,0.33oz,,30 min,,
Name,08/10/2020 8:00 PM,08/10/2020 8:30 PM,FEEDING,0.67oz,,30 min,,
Name,08/10/2020 11:00 PM,08/10/2020 11:30 PM,FEEDING,0.67oz,,30 min,,
Name,08/11/2020 3:00 AM,08/11/2020 3:30 AM,FEEDING,0.67oz,,30 min,,
Name,08/11/2020 5:00 AM,08/11/2020 5:30 AM,FEEDING,0.67oz,,30 min,,
Name,08/11/2020 9:00 AM,08/11/2020 9:30 AM,FEEDING,0.50oz,,30 min,,
Name,08/11/2020 12:00 PM,08/11/2020 12:30 PM,FEEDING,0.67oz,,30 min,,
Name,08/11/2020 2:00 PM,08/11/2020 2:30 PM,FEEDING,0.33oz,,30 min,,
